NOC_display,Year,ath_Gold,ath_Silver,ath_Bronze,ath_Total,off_Gold,off_Silver,off_Bronze,off_Total,diff_Gold,diff_Silver,diff_Bronze,note
,1906,15,10,16,41,0,0,0,0,,,,NOT IN ORIGINAL
,1906,8,14,13,35,0,0,0,0,,,,NOT IN ORIGINAL
,1906,8,12,5,25,0,0,0,0,,,,NOT IN ORIGINAL
,1906,12,5,6,23,0,0,0,0,,,,NOT IN ORIGINAL
,1906,7,6,3,16,0,0,0,0,,,,NOT IN ORIGINAL
,1906,4,6,4,14,0,0,0,0,,,,NOT IN ORIGINAL
,1906,2,5,7,14,0,0,0,0,,,,NOT IN ORIGINAL
,1906,2,5,3,10,0,0,0,0,,,,NOT IN ORIGINAL
,1906,3,3,3,9,0,0,0,0,,,,NOT IN ORIGINAL
,1906,4,3,1,8,0,0,0,0,,,,NOT IN ORIGINAL
,1906,2,2,3,7,0,0,0,0,,,,NOT IN ORIGINAL
,1906,3,2,1,6,0,0,0,0,,,,NOT IN ORIGINAL
,1906,2,1,1,4,0,0,0,0,,,,NOT IN ORIGINAL
,1906,0,1,2,3,0,0,0,0,,,,NOT IN ORIGINAL
,1906,0,0,3,3,0,0,0,0,,,,NOT IN ORIGINAL
,1906,1,1,0,2,0,0,0,0,,,,NOT IN ORIGINAL
,1906,1,1,0,2,0,0,0,0,,,,NOT IN ORIGINAL
,1906,0,0,2,2,0,0,0,0,,,,NOT IN ORIGINAL
Great Britain,1908,56,50,37,143,56,51,39,146,0.0,-1.0,-2.0,
United States,1908,22,12,12,46,23,12,12,47,-1.0,0.0,0.0,
Sweden,1912,24,24,17,65,23,25,17,65,1.0,-1.0,0.0,
United States,1912,26,18,19,63,26,19,19,64,0.0,-1.0,0.0,
Germany,1912,6,13,7,26,5,13,7,25,1.0,0.0,0.0,
France,1912,7,5,3,15,7,4,3,14,0.0,1.0,0.0,
Norway,1912,4,1,5,10,3,2,5,10,1.0,-1.0,0.0,
Italy,1912,5,1,2,8,3,1,2,6,2.0,0.0,0.0,
,1912,1,0,0,1,0,0,0,0,,,,NOT IN ORIGINAL
Great Britain,1920,14,16,13,43,14,15,13,42,0.0,1.0,0.0,
Belgium,1920,16,12,14,42,14,11,11,36,2.0,1.0,3.0,
France,1920,9,20,13,42,9,19,13,41,0.0,1.0,0.0,
Norway,1920,10,10,9,29,13,9,9,31,-3.0,1.0,0.0,
Italy,1920,14,6,5,25,13,5,5,23,1.0,1.0,0.0,
France,1924,14,14,12,40,13,15,10,38,1.0,-1.0,2.0,
Great Britain,1924,9,14,12,35,9,13,12,34,0.0,1.0,0.0,
Netherlands,1924,4,1,6,11,4,1,5,10,0.0,0.0,1.0,
Denmark,1924,2,6,3,11,2,5,2,9,0.0,1.0,1.0,
Hungary,1924,2,4,4,10,2,3,4,9,0.0,1.0,0.0,
,1924,1,1,0,2,0,0,0,0,,,,NOT IN ORIGINAL
,1924,0,1,1,2,0,0,0,0,,,,NOT IN ORIGINAL
,1924,1,0,0,1,0,0,0,0,,,,NOT IN ORIGINAL
,1924,0,0,1,1,0,0,0,0,,,,NOT IN ORIGINAL
Germany,1928,11,9,19,39,10,7,14,31,1.0,2.0,5.0,
France,1928,7,12,6,25,6,10,5,21,1.0,2.0,1.0,
Netherlands,1928,8,10,5,23,6,9,4,19,2.0,1.0,1.0,
Great Britain,1928,4,11,7,22,3,10,7,20,1.0,1.0,0.0,
Italy,1928,7,6,7,20,7,5,7,19,0.0,1.0,0.0,
Switzerland,1928,7,6,4,17,7,4,4,15,0.0,2.0,0.0,
Hungary,1928,5,5,0,10,4,5,0,9,1.0,0.0,0.0,
Denmark,1928,3,2,4,9,3,1,2,6,0.0,1.0,2.0,
Poland,1928,2,1,4,7,1,1,3,5,1.0,0.0,1.0,
Austria,1928,3,0,1,4,2,0,1,3,1.0,0.0,0.0,
,1928,1,0,0,1,0,0,0,0,,,,NOT IN ORIGINAL
Sweden,1948,17,11,18,46,16,11,17,44,1.0,0.0,1.0,
France,1948,11,6,15,32,10,6,13,29,1.0,0.0,2.0,
Italy,1948,9,12,10,31,8,11,8,27,1.0,1.0,2.0,
Great Britain,1948,4,16,7,27,3,14,6,23,1.0,2.0,1.0,
Finland,1948,8,8,6,22,8,7,5,20,0.0,1.0,1.0,
Denmark,1948,5,8,9,22,5,7,8,20,0.0,1.0,1.0,
Switzerland,1948,5,12,4,21,5,10,5,20,0.0,2.0,-1.0,
Austria,1948,2,2,4,8,1,0,3,4,1.0,2.0,1.0,
South Africa,1948,2,2,2,6,2,1,1,4,0.0,1.0,1.0,
Canada,1948,0,2,2,4,0,1,2,3,0.0,1.0,0.0,
Poland,1948,1,0,1,2,0,0,1,1,1.0,0.0,0.0,
,1948,0,0,1,1,0,0,0,0,,,,NOT IN ORIGINAL
Soviet Union,1952,22,29,19,70,22,30,19,71,0.0,-1.0,0.0,
Japan,1952,1,6,1,8,1,6,2,9,0.0,0.0,-1.0,
Japan,1956,4,10,3,17,4,10,5,19,0.0,0.0,-2.0,
,1960,0,1,1,2,0,0,0,0,,,,NOT IN ORIGINAL
Soviet Union,1964,30,30,33,93,30,31,35,96,0.0,-1.0,-2.0,
United States,1984,82,61,30,173,83,61,30,174,-1.0,0.0,0.0,
Romania,1984,19,16,17,52,20,16,17,53,-1.0,0.0,0.0,
Japan,1984,10,7,14,31,10,8,14,32,0.0,-1.0,0.0,
Soviet Union,1988,54,31,46,131,55,31,46,132,-1.0,0.0,0.0,
China,1992,16,22,15,53,16,22,16,54,0.0,0.0,-1.0,
South Korea,1992,12,5,11,28,12,5,12,29,0.0,0.0,-1.0,
,1992,0,1,2,3,0,0,0,0,,,,NOT IN ORIGINAL
Romania,1996,4,7,8,19,4,7,9,20,0.0,0.0,-1.0,
United States,2000,36,24,31,91,37,24,32,93,-1.0,0.0,-1.0,
Turkey,2004,3,3,5,11,3,3,4,10,0.0,0.0,1.0,
United States,2008,36,39,35,110,36,39,37,112,0.0,0.0,-2.0,
China,2008,51,21,28,100,48,22,30,100,3.0,-1.0,-2.0,
Russia,2008,23,21,28,72,24,13,23,60,-1.0,8.0,5.0,
Great Britain,2008,19,13,16,48,19,13,19,51,0.0,0.0,-3.0,
Germany,2008,16,10,15,41,16,11,14,41,0.0,-1.0,1.0,
France,2008,7,16,18,41,7,16,20,43,0.0,0.0,-2.0,
South Korea,2008,13,10,8,31,13,11,8,32,0.0,-1.0,0.0,
Ukraine,2008,7,5,15,27,7,4,11,22,0.0,1.0,4.0,
Japan,2008,9,7,9,25,9,8,8,25,0.0,-1.0,1.0,
Cuba,2008,2,11,11,24,3,10,17,30,-1.0,1.0,-6.0,
Canada,2008,3,9,7,19,3,9,8,20,0.0,0.0,-1.0,
Spain,2008,5,10,3,18,5,11,3,19,0.0,-1.0,0.0,
Belarus,2008,4,5,9,18,3,4,7,14,1.0,1.0,2.0,
Brazil,2008,3,4,9,16,3,4,10,17,0.0,0.0,-1.0,
Kenya,2008,6,4,5,15,6,4,6,16,0.0,0.0,-1.0,
Kazakhstan,2008,2,4,7,13,2,3,4,9,0.0,1.0,3.0,
Poland,2008,3,6,1,10,4,5,2,11,-1.0,1.0,-1.0,
Jamaica,2008,5,2,2,9,5,4,2,11,0.0,-2.0,0.0,
Romania,2008,4,1,3,8,4,1,4,9,0.0,0.0,-1.0,
Ethiopia,2008,4,1,2,7,4,2,1,7,0.0,-1.0,1.0,
Turkey,2008,1,3,3,7,1,1,3,5,0.0,2.0,0.0,
Azerbaijan,2008,1,2,4,7,1,1,4,6,0.0,1.0,0.0,
Czech Republic,2008,3,3,0,6,3,3,1,7,0.0,0.0,-1.0,
Slovakia,2008,3,2,1,6,3,3,0,6,0.0,-1.0,1.0,
Georgia,2008,3,0,3,6,3,2,2,7,0.0,-2.0,1.0,
North Korea,2008,2,1,3,6,2,2,2,6,0.0,-1.0,1.0,
Uzbekistan,2008,1,2,3,6,0,1,3,4,1.0,1.0,0.0,
Armenia,2008,0,0,6,6,0,1,4,5,0.0,-1.0,2.0,
Indonesia,2008,1,1,3,5,1,1,4,6,0.0,0.0,-1.0,
Lithuania,2008,0,2,3,5,0,3,2,5,0.0,-1.0,1.0,
Thailand,2008,2,2,0,4,2,2,2,6,0.0,0.0,-2.0,
Greece,2008,0,2,2,4,0,2,1,3,0.0,0.0,1.0,
Nigeria,2008,0,1,3,4,0,3,2,5,0.0,-2.0,1.0,
Chinese Taipei,2008,0,0,4,4,1,1,2,4,-1.0,-1.0,2.0,
Mexico,2008,2,0,1,3,2,0,2,4,0.0,0.0,-1.0,
Belgium,2008,1,1,0,2,2,0,0,2,-1.0,1.0,0.0,
Colombia,2008,0,1,1,2,0,2,1,3,0.0,-1.0,0.0,
Kyrgyzstan,2008,0,1,1,2,0,1,2,3,0.0,0.0,-1.0,
Egypt,2008,0,0,1,1,0,0,2,2,0.0,0.0,-1.0,
United States,2012,46,28,29,103,48,26,30,104,-2.0,2.0,-1.0,
China,2012,38,27,23,88,39,31,22,92,-1.0,-4.0,1.0,
Russia,2012,24,26,32,82,18,21,26,65,6.0,5.0,6.0,
Great Britain,2012,29,17,19,65,29,18,18,65,0.0,-1.0,1.0,
Germany,2012,11,19,14,44,11,20,13,44,0.0,-1.0,1.0,
Australia,2012,7,16,12,35,8,15,12,35,-1.0,1.0,0.0,
South Korea,2012,13,8,7,28,13,9,9,31,0.0,-1.0,-2.0,
Ukraine,2012,6,5,9,20,5,4,10,19,1.0,1.0,-1.0,
Canada,2012,1,5,12,18,2,6,10,18,-1.0,-1.0,2.0,
Spain,2012,3,10,4,17,4,10,6,20,-1.0,0.0,-2.0,
Cuba,2012,5,3,6,14,5,3,7,15,0.0,0.0,-1.0,
Kazakhstan,2012,7,1,5,13,3,2,6,11,4.0,-1.0,-1.0,
Iran,2012,4,5,3,12,7,5,1,13,-3.0,0.0,2.0,
Jamaica,2012,4,4,4,12,4,5,4,13,0.0,-1.0,0.0,
Belarus,2012,2,5,5,12,2,5,3,10,0.0,0.0,2.0,
Kenya,2012,2,4,5,11,2,4,7,13,0.0,0.0,-2.0,
Czech Republic,2012,4,3,3,10,4,4,3,11,0.0,-1.0,0.0,
Azerbaijan,2012,2,2,6,10,2,2,5,9,0.0,0.0,1.0,
Poland,2012,2,2,6,10,3,2,6,11,-1.0,0.0,0.0,
Romania,2012,2,5,2,9,2,4,1,7,0.0,1.0,1.0,
Colombia,2012,1,3,4,8,1,3,5,9,0.0,0.0,-1.0,
Ethiopia,2012,3,1,3,7,3,2,3,8,0.0,-1.0,0.0,
Georgia,2012,1,3,3,7,1,2,3,6,0.0,1.0,0.0,
Mexico,2012,1,3,3,7,1,3,4,8,0.0,0.0,-1.0,
South Africa,2012,3,2,1,6,4,1,1,6,-1.0,1.0,0.0,
Turkey,2012,2,2,1,5,1,1,1,3,1.0,1.0,0.0,
Lithuania,2012,2,1,2,5,2,0,3,5,0.0,1.0,-1.0,
Ireland,2012,1,1,3,5,1,1,4,6,0.0,0.0,-1.0,
Tunisia,2012,1,1,1,3,2,0,1,3,-1.0,1.0,0.0,
Uzbekistan,2012,1,0,2,3,0,0,3,3,1.0,0.0,-1.0,
Thailand,2012,0,2,1,3,0,2,2,4,0.0,0.0,-1.0,
Armenia,2012,0,1,2,3,0,1,1,2,0.0,0.0,1.0,
Finland,2012,0,1,2,3,0,2,1,3,0.0,-1.0,1.0,
Egypt,2012,0,2,0,2,0,3,1,4,0.0,-1.0,-1.0,
Bulgaria,2012,0,1,1,2,0,2,1,3,0.0,-1.0,0.0,
Indonesia,2012,0,1,1,2,0,2,1,3,0.0,-1.0,0.0,
Chinese Taipei,2012,0,1,1,2,1,0,1,2,-1.0,1.0,0.0,
,2012,0,0,2,2,0,0,0,0,,,,NOT IN ORIGINAL
Qatar,2012,0,0,2,2,0,1,1,2,0.0,-1.0,1.0,
Bahrain,2012,0,0,1,1,1,0,0,1,-1.0,0.0,1.0,
Kazakhstan,2016,3,5,10,18,2,5,10,17,1.0,0.0,0.0,
Venezuela,2016,0,1,2,3,0,2,1,3,0.0,-1.0,1.0,
United States,2020,35,41,33,109,39,41,33,113,-4.0,0.0,0.0,
China,2020,37,30,18,85,38,32,19,89,-1.0,-2.0,-1.0,
ROC,2020,20,25,23,68,20,28,23,71,0.0,-3.0,0.0,
Great Britain,2020,22,21,22,65,22,20,22,64,0.0,1.0,0.0,
Japan,2020,27,14,16,57,27,14,17,58,0.0,0.0,-1.0,
Australia,2020,16,7,22,45,17,7,22,46,-1.0,0.0,0.0,
France,2020,9,12,11,32,10,12,11,33,-1.0,0.0,0.0,
Canada,2020,7,6,11,24,7,7,10,24,0.0,-1.0,1.0,
Argentina,2020,0,1,1,2,0,1,2,3,0.0,0.0,-1.0,
United States,2024,37,42,39,118,40,44,42,126,-3.0,-2.0,-3.0,
China,2024,38,26,24,88,40,27,24,91,-2.0,-1.0,0.0,
Great Britain,2024,13,22,28,63,14,22,29,65,-1.0,0.0,-1.0,
France,2024,13,22,22,57,16,26,22,64,-3.0,-4.0,0.0,
Australia,2024,18,18,16,52,18,19,16,53,0.0,-1.0,0.0,
Italy,2024,12,11,13,36,12,13,15,40,0.0,-2.0,-2.0,
Netherlands,2024,14,7,12,33,15,7,12,34,-1.0,0.0,0.0,
Germany,2024,11,10,8,29,12,13,8,33,-1.0,-3.0,0.0,
Canada,2024,9,6,11,26,9,7,11,27,0.0,-1.0,0.0,
Brazil,2024,3,6,10,19,3,7,10,20,0.0,-1.0,0.0,
Hungary,2024,6,7,5,18,6,7,6,19,0.0,0.0,-1.0,
Belgium,2024,3,1,5,9,3,1,6,10,0.0,0.0,-1.0,
Switzerland,2024,1,2,4,7,1,2,5,8,0.0,0.0,-1.0,
Ireland,2024,3,0,2,5,4,0,3,7,-1.0,0.0,-1.0,
,2024,1,3,1,5,0,0,0,0,,,,NOT IN ORIGINAL
