Name,NOC,Year,Event,dropped_medal,kept_medal,reason
Marcel Meran,FRA,1900,Sailing Mixed 0.5-1 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=68 vs B_off=37
Pierre Gervais,FRA,1900,Sailing Mixed 0-0.5 Ton,Bronze,Gold,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=67 vs B_off=37
Robert Gufflet,FRA,1900,Sailing Mixed 3-10 Ton,Bronze,Silver,G_ath=49 vs G_off=27 S_ath=77 vs S_off=39 B_ath=66 vs B_off=37
Bernard Pourtals,SUI,1900,Sailing Mixed 1-2 Ton,Gold,Silver,G_ath=16 vs G_off=6 S_ath=4 vs S_off=2 B_ath=1 vs B_off=1
Hermann Pourtals,SUI,1900,Sailing Mixed 1-2 Ton,Gold,Silver,G_ath=15 vs G_off=6 S_ath=4 vs S_off=2 B_ath=1 vs B_off=1
Hlne (barbey-),SUI,1900,Sailing Mixed 1-2 Ton,Gold,Silver,G_ath=14 vs G_off=6 S_ath=4 vs S_off=2 B_ath=1 vs B_off=1
Bernard Pourtals,SUI,1900,Sailing Mixed 1-2 Ton,Silver,Gold,G_ath=13 vs G_off=6 S_ath=4 vs S_off=2 B_ath=1 vs B_off=1
Hermann Pourtals,SUI,1900,Sailing Mixed 1-2 Ton,Silver,Gold,G_ath=13 vs G_off=6 S_ath=3 vs S_off=2 B_ath=1 vs B_off=1
Alex Diggelmann,SUI,1948,"Art Competitions Mixed Painting, Applied Arts",Silver,Bronze,G_ath=5 vs G_off=5 S_ath=25 vs S_off=10 B_ath=6 vs B_off=5
Alex Diggelmann,SUI,1948,"Art Competitions Mixed Painting, Applied Arts",Bronze,Silver,G_ath=5 vs G_off=5 S_ath=24 vs S_off=10 B_ath=6 vs B_off=5
