athlete_Sport,athlete_keyword,programs_Sport,programs_Discipline,Code,match_method
Table Tennis,table tennis men's doubles,Table Tennis,Table Tennis,TTE,single_disc
Wrestling,"wrestling men's light-heavyweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Gymnastics,gymnastics women's individual all-around,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics women's floor exercise,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics women's uneven bars,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics women's balance beam,Gymnastics,Artistic,GAR,default
Athletics,"athletics women's 1,500 metres",Athletics,Athletics,ATH,single_disc
Trampolining,trampolining men's individual,Gymnastics,Trampoline,GTR,sub_sport
Gymnastics,gymnastics men's individual all-around,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics men's floor exercise,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics men's parallel bars,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics men's horizontal bar,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics men's rings,Gymnastics,Artistic,GAR,default
Gymnastics,gymnastics men's pommelled horse,Gymnastics,Artistic,GAR,default
Athletics,athletics men's decathlon,Athletics,Athletics,ATH,single_disc
Athletics,athletics women's 20 kilometres walk,Athletics,Athletics,ATH,single_disc
Sailing,sailing women's one person dinghy,Sailing,Sailing,SAL,single_disc
Swimming,swimming women's 400 metres individual medley,Aquatics,Swimming,SWM,sub_sport
Fencing,"fencing men's epee, individual",Fencing,Fencing,FEN,single_disc
Fencing,"fencing men's foil, individual",Fencing,Fencing,FEN,single_disc
Boxing,boxing men's light-flyweight,Boxing,Boxing,BOX,single_disc
Athletics,"athletics men's 10,000 metres",Athletics,Athletics,ATH,single_disc
Judo,judo women's extra-lightweight,Judo,Judo,JUD,single_disc
Boxing,boxing men's light-middleweight,Boxing,Boxing,BOX,single_disc
Athletics,athletics men's 4 x 400 metres relay,Athletics,Athletics,ATH,single_disc
Weightlifting,weightlifting women's super-heavyweight,Weightlifting,Weightlifting,WLF,single_disc
Rowing,rowing women's single sculls,Rowing,Rowing,ROW,default
Judo,judo men's extra-lightweight,Judo,Judo,JUD,single_disc
Athletics,athletics men's triple jump,Athletics,Athletics,ATH,single_disc
Athletics,athletics men's 400 metres hurdles,Athletics,Athletics,ATH,single_disc
Badminton,badminton men's singles,Badminton,Badminton,BDM,single_disc
Weightlifting,weightlifting women's middleweight,Weightlifting,Weightlifting,WLF,single_disc
Judo,judo women's lightweight,Judo,Judo,JUD,single_disc
Gymnastics,gymnastics men's horse vault,Gymnastics,Artistic,GAR,default
Table Tennis,table tennis women's doubles,Table Tennis,Table Tennis,TTE,single_disc
Fencing,"fencing women's sabre, individual",Fencing,Fencing,FEN,single_disc
Tennis,tennis men's singles,Tennis,Tennis,TEN,single_disc
Boxing,boxing men's super-heavyweight,Boxing,Boxing,BOX,single_disc
Judo,judo women's half-middleweight,Judo,Judo,JUD,single_disc
Wrestling,"wrestling men's middleweight, greco-roman",Wrestling,Greco-Roman,WRG,keyword
Swimming,swimming men's 200 metres butterfly,Aquatics,Swimming,SWM,sub_sport
Weightlifting,weightlifting men's heavyweight i,Weightlifting,Weightlifting,WLF,single_disc
Rowing,lightweight men's double sculls team,Rowing,Rowing,ROW,default
Judo,women +78 kg,Judo,Judo,JUD,single_disc
Boxing,men's heavy (81-91kg),Boxing,Boxing,BOX,single_disc
Wrestling,men's freestyle 86kg,Wrestling,Freestyle,WRF,keyword
Athletics,women's 400m hurdles,Athletics,Athletics,ATH,single_disc
Wrestling,men's freestyle 125kg,Wrestling,Freestyle,WRF,keyword
Sailing,women's windsurfer - rs:x,Sailing,Sailing,SAL,single_disc
Weightlifting,men's +109kg,Weightlifting,Weightlifting,WLF,single_disc
Boxing,women's fly (48-51kg),Boxing,Boxing,BOX,single_disc
Athletics,men's 3000m steeplechase,Athletics,Athletics,ATH,single_disc
Boxing,men's super heavy (+91kg),Boxing,Boxing,BOX,single_disc
Fencing,men's sabre individual,Fencing,Fencing,FEN,single_disc
Sailing,men's windsurfer - rs:x,Sailing,Sailing,SAL,single_disc
Table Tennis,men's singles,Table Tennis,Table Tennis,TTE,single_disc
Shooting,10m air rifle women,Shooting,Shooting,SHO,single_disc
Boxing,women's middle (69-75kg),Boxing,Boxing,BOX,single_disc
Marathon Swimming,women's 10km,Aquatics,Marathon Swimming,OWS,sub_sport
Wrestling,men's freestyle 97kg,Wrestling,Freestyle,WRF,keyword
Wrestling,men's greco-roman 60kg,Wrestling,Greco-Roman,WRG,keyword
Boxing,men's fly (48-52kg),Boxing,Boxing,BOX,single_disc
Fencing,men's foil individual,Fencing,Fencing,FEN,single_disc
Athletics,men's 800m,Athletics,Athletics,ATH,single_disc
Boxing,men's light heavy (75-81kg),Boxing,Boxing,BOX,single_disc
Boxing,women's light (57-60kg),Boxing,Boxing,BOX,single_disc
Canoe Sprint,women's kayak single 200m,Canoeing,Sprint,CSP,sub_sport
Canoe Sprint,women's kayak single 500m,Canoeing,Sprint,CSP,sub_sport
Athletics,men's 400m hurdles,Athletics,Athletics,ATH,single_disc
Karate,women's kumite +61kg,Karate,Karate,KTE,single_disc
Fencing,women's foil individual,Fencing,Fencing,FEN,single_disc
Swimming,women's 100m freestyle,Aquatics,Swimming,SWM,sub_sport
Wrestling,men's greco-roman 67kg,Wrestling,Greco-Roman,WRG,keyword
Fencing,women's sabre individual,Fencing,Fencing,FEN,single_disc
Boxing,men's middle (69-75kg),Boxing,Boxing,BOX,single_disc
Judo,men -73 kg,Judo,Judo,JUD,single_disc
Wrestling,men's greco-roman 87kg,Wrestling,Greco-Roman,WRG,keyword
Athletics,men's triple jump,Athletics,Athletics,ATH,single_disc
Canoe Slalom,women's kayak single,Canoeing,Slalom,CSL,sub_sport
Canoe Slalom,women's kayak cross,Canoeing,Slalom,CSL,sub_sport
Boxing,men's 63.5kg,Boxing,Boxing,BOX,single_disc
Boxing,men's +92kg,Boxing,Boxing,BOX,single_disc
Boxing,women's 50kg,Boxing,Boxing,BOX,single_disc
Boxing,women's 66kg,Boxing,Boxing,BOX,single_disc
Boxing,women's 60kg,Boxing,Boxing,BOX,single_disc
Wrestling,men's greco-roman 77kg,Wrestling,Greco-Roman,WRG,keyword
Wrestling,women's freestyle 50kg,Wrestling,Freestyle,WRF,keyword
Wrestling,women's freestyle 57kg,Wrestling,Freestyle,WRF,keyword
Sailing,men's windsurfing,Sailing,Sailing,SAL,single_disc
Artistic Gymnastics,women,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,women's all-around,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,women's balance beam,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,women's floor exercise,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,women's uneven bars,Gymnastics,Artistic,GAR,sub_sport
Artistic Gymnastics,women's vault,Gymnastics,Artistic,GAR,sub_sport
Judo,women -63 kg,Judo,Judo,JUD,single_disc
Judo,men +100 kg,Judo,Judo,JUD,single_disc
Athletics,men's 110m hurdles,Athletics,Athletics,ATH,single_disc
Athletics,women's hammer throw,Athletics,Athletics,ATH,single_disc
Athletics,men's discus throw,Athletics,Athletics,ATH,single_disc
Table Tennis,women's singles,Table Tennis,Table Tennis,TTE,single_disc
Swimming,men's 200m individual medley,Aquatics,Swimming,SWM,sub_sport
Shooting,10m air pistol men,Shooting,Shooting,SHO,single_disc
Weightlifting,men's +102kg,Weightlifting,Weightlifting,WLF,single_disc
Fencing,women's sabre team,Fencing,Fencing,FEN,single_disc
Badminton,mixed doubles,Badminton,Badminton,BDM,single_disc
Canoeing,"canoeing women's kayak singles, slalom",Canoeing,Slalom,CSL,keyword
Swimming,swimming men's 400 metres individual medley,Aquatics,Swimming,SWM,sub_sport
Athletics,athletics women's high jump,Athletics,Athletics,ATH,single_disc
Sailing,sailing men's two person dinghy,Sailing,Sailing,SAL,single_disc
Swimming,swimming women's 200 metres individual medley,Aquatics,Swimming,SWM,sub_sport
Canoe Slalom,women's kayak,Canoeing,Slalom,CSL,sub_sport
Canoe Slalom,women's canoe,Canoeing,Slalom,CSL,sub_sport
Canoe Slalom,women's canoe single,Canoeing,Slalom,CSL,sub_sport
Beach Volleyball,beach volleyball men's beach volleyball,Volleyball,Beach,VBV,sub_sport
Basketball,basketball men's basketball,Basketball,Basketball,BKB,default
Handball,handball women's handball,Handball,Indoor,HBL,default
Basketball,basketball women's basketball,Basketball,Basketball,BKB,default
Swimming,swimming women's 100 metres breaststroke,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming women's 200 metres breaststroke,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming men's 4 x 100 metres medley relay,Aquatics,Swimming,SWM,sub_sport
Athletics,"athletics women's 3,000 metres",Athletics,Athletics,ATH,single_disc
Canoeing,"canoeing men's canadian singles, 200 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing men's canadian doubles, 1,000 metres",Canoeing,Sprint,CSP,default
Sailing,sailing men's one person dinghy,Sailing,Sailing,SAL,single_disc
Canoeing,"canoeing men's canadian singles, 500 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing men's canadian singles, 1,000 metres",Canoeing,Sprint,CSP,default
Sailing,men's two person dinghy - 470 team,Sailing,Sailing,SAL,single_disc
Handball,women team,Handball,Indoor,HBL,default
Swimming,men's 100m butterfly,Aquatics,Swimming,SWM,sub_sport
Judo,women -57 kg,Judo,Judo,JUD,single_disc
Sailing,mixed dinghy,Sailing,Sailing,SAL,single_disc
Swimming,women's 200m butterfly,Aquatics,Swimming,SWM,sub_sport
Handball,women,Handball,Indoor,HBL,default
Sailing,men's dinghy,Sailing,Sailing,SAL,single_disc
Athletics,athletics women's 4 x 400 metres relay,Athletics,Athletics,ATH,single_disc
Cycling,"cycling men's 1,000 metres time trial",Cycling,Track,CTR,keyword
Cycling,"cycling men's individual pursuit, 4,000 metres",Cycling,Track,CTR,keyword
Cycling,cycling men's sprint,Cycling,Track,CTR,keyword
Sailing,sailing mixed two person keelboat,Sailing,Sailing,SAL,single_disc
Cycling,"cycling men's mountainbike, cross-country",Cycling,Mountain Bike,MTB,keyword
Cycling,cycling men's points race,Cycling,Track,CTR,keyword
Canoeing,"canoeing women's kayak singles, 500 metres",Canoeing,Sprint,CSP,default
Athletics,athletics women's 4 x 100 metres relay,Athletics,Athletics,ATH,single_disc
Sailing,women's one person dinghy - laser radial,Sailing,Sailing,SAL,single_disc
Boxing,men's light (57-63kg),Boxing,Boxing,BOX,single_disc
Sailing,men's kite,Sailing,Sailing,SAL,single_disc
Diving,diving men's springboard,Aquatics,Diving,DIV,sub_sport
Rugby,rugby men's rugby,Rugby,Union,RUG,default
Swimming,"swimming men's 1,500 metres freestyle",Aquatics,Swimming,SWM,sub_sport
Athletics,athletics men's 5 mile,Athletics,Athletics,ATH,single_disc
Rowing,rowing men's coxed eights,Rowing,Rowing,ROW,default
Shooting,"shooting men's small-bore rifle, prone, 50 and 100 yards",Shooting,Shooting,SHO,single_disc
Shooting,"shooting men's small-bore rifle, disappearing target, 25 yards",Shooting,Shooting,SHO,single_disc
Shooting,"shooting men's small-bore rifle, moving target, 25 yards",Shooting,Shooting,SHO,single_disc
Athletics,athletics men's standing high jump,Athletics,Athletics,ATH,single_disc
Athletics,"athletics men's 3,500 metres walk",Athletics,Athletics,ATH,single_disc
Athletics,athletics men's 10 mile walk,Athletics,Athletics,ATH,single_disc
Athletics,athletics men's 10 kilometres walk,Athletics,Athletics,ATH,single_disc
Swimming,swimming men's 400 metres breaststroke,Aquatics,Swimming,SWM,sub_sport
Tennis,"tennis men's singles, covered courts",Tennis,Tennis,TEN,single_disc
Rowing,rowing women's coxless pairs,Rowing,Rowing,ROW,default
Rowing,rowing men's coxed fours,Rowing,Rowing,ROW,default
Cycling,"cycling men's team pursuit, 4,000 metres",Cycling,Track,CTR,keyword
Cycling,cycling men's 100 kilometres team time trial,Cycling,Road,CRD,keyword
Equestrianism,"equestrianism mixed three-day event, team",Equestrian,Eventing,EVE,keyword
Rowing,rowing men's coxless pairs,Rowing,Rowing,ROW,default
Swimming,swimming women's 200 metres butterfly,Aquatics,Swimming,SWM,sub_sport
Hockey,hockey women's hockey,Field hockey,Field hockey,HOC,single_disc
Sailing,sailing mixed 8 metres,Sailing,Sailing,SAL,single_disc
Equestrianism,"equestrianism mixed jumping, individual",Equestrian,Jumping,EJP,keyword
Equestrianism,"equestrianism mixed jumping, team",Equestrian,Jumping,EJP,keyword
Rowing,rowing men's coxless fours,Rowing,Rowing,ROW,default
Equestrianism,"equestrianism men's jumping, individual",Equestrian,Jumping,EJP,keyword
Equestrianism,"equestrianism men's jumping, team",Equestrian,Jumping,EJP,keyword
Triathlon,triathlon women's olympic distance,Triathlon,Triathlon,TRI,single_disc
Shooting,"shooting men's small-bore rifle, three positions, 50 metres",Shooting,Shooting,SHO,single_disc
Shooting,"shooting men's small-bore rifle, prone, 50 metres",Shooting,Shooting,SHO,single_disc
Rugby Sevens,rugby sevens men's rugby sevens,Rugby,Sevens,RU7,sub_sport
Swimming,swimming women's 4 x 200 metres freestyle relay,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming women's 4 x 100 metres medley relay,Aquatics,Swimming,SWM,sub_sport
Rowing,rowing women's double sculls,Rowing,Rowing,ROW,default
Cycling,"cycling women's mountainbike, cross-country",Cycling,Mountain Bike,MTB,keyword
Canoeing,"canoeing women's kayak singles, 200 metres",Canoeing,Sprint,CSP,default
Canoeing,"canoeing women's kayak fours, 500 metres",Canoeing,Sprint,CSP,default
Gymnastics,gymnastics men's team all-around,Gymnastics,Artistic,GAR,default
Polo,polo men's polo,Polo,Polo,POL,single_disc
Fencing,"fencing men's foil, team",Fencing,Fencing,FEN,single_disc
Canoeing,"canoeing women's kayak doubles, 500 metres",Canoeing,Sprint,CSP,default
Shooting,"shooting men's free rifle, three positions, 300 metres",Shooting,Shooting,SHO,single_disc
Football,football women's football,Football,Football,FBL,single_disc
Athletics,athletics women's discus throw,Athletics,Athletics,ATH,single_disc
Athletics,athletics women's long jump,Athletics,Athletics,ATH,single_disc
Fencing,"fencing men's epee, team",Fencing,Fencing,FEN,single_disc
Athletics,athletics men's discus throw,Athletics,Athletics,ATH,single_disc
Swimming,swimming men's 200 metres backstroke,Aquatics,Swimming,SWM,sub_sport
Athletics,athletics men's pole vault,Athletics,Athletics,ATH,single_disc
Swimming,swimming women's 400 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Swimming,swimming women's 800 metres freestyle,Aquatics,Swimming,SWM,sub_sport
Modern Pentathlon,modern pentathlon men's individual,Modern Pentathlon,,MPN,single_disc
Modern Pentathlon,modern pentathlon men's team,Modern Pentathlon,,MPN,single_disc
Cycling,cycling men's bmx,Cycling,BMX Racing,BMX,keyword
Sailing,sailing mixed three person keelboat,Sailing,Sailing,SAL,single_disc
Archery,archery men's individual,Archery,Archery,ARC,single_disc
Swimming,swimming women's 4 x 100 metres freestyle relay,Aquatics,Swimming,SWM,sub_sport
