athlete_NOC,NOC_for_join,NOC_clean,Year,Gold_ath,Silver_ath,Bronze_ath,Total_ath,Gold_off,Silver_off,Bronze_off,Total_off,Rank,diff_Gold,diff_Silver,diff_Bronze,diff_Total,abs_diff_sum,match_status
TUR,TUR,,1906,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,USA,,1906,6,12,5,23,0,0,0,0,,6,12,5,23,23,ONLY_IN_ATHLETES
ANZ,Australasia,Australasia,1908,2,1,2,5,1,2,2,5,11,1,-1,0,0,2,DIFFER
ARG,ARG,,1908,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUT,Austria,Austria,1908,1,0,0,1,0,0,1,1,19,1,0,-1,0,2,DIFFER
BEL,Belgium,Belgium,1908,2,1,5,8,1,5,2,8,10,1,-4,3,0,8,DIFFER
BOH,Bohemia,Bohemia,1908,2,0,0,2,0,0,2,2,17,2,0,-2,0,4,DIFFER
CAN,Canada,Canada,1908,10,3,3,16,3,3,10,16,7,7,0,-7,0,14,DIFFER
DEN,Denmark,Denmark,1908,3,0,2,5,0,2,3,5,16,3,-2,-1,0,6,DIFFER
FIN,Finland,Finland,1908,3,1,1,5,1,1,3,5,13,2,0,-2,0,4,DIFFER
FRA,France,France,1908,9,5,5,19,5,5,9,19,4,4,0,-4,0,8,DIFFER
GBR,Great Britain,Great Britain,1908,37,56,50,143,56,51,39,146,1,-19,5,11,-3,35,DIFFER
GER,Germany,Germany,1908,5,3,5,13,3,5,5,13,5,2,-2,0,0,4,DIFFER
GRE,Greece,Greece,1908,1,0,3,4,0,3,1,4,15,1,-3,2,0,6,DIFFER
HUN,Hungary,Hungary,1908,2,3,4,9,3,4,2,9,6,-1,-1,2,0,4,DIFFER
ISL,ISL,,1908,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1908,0,2,2,4,2,2,0,4,9,-2,0,2,0,4,DIFFER
NED,Netherlands,Netherlands,1908,2,0,0,2,0,0,2,2,17,2,0,-2,0,4,DIFFER
NOR,Norway,Norway,1908,3,2,3,8,2,3,3,8,8,1,-1,0,0,2,DIFFER
RSA,South Africa,South Africa,1908,0,1,1,2,1,1,0,2,14,-1,0,1,0,2,DIFFER
RUS,Russian Empire,Russian Empire,1908,0,1,2,3,1,2,0,3,12,-1,-1,2,0,4,DIFFER
SUI,SUI,,1908,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SWE,Sweden,Sweden,1908,11,8,6,25,8,6,11,25,3,3,2,-5,0,10,DIFFER
USA,United States,United States,1908,12,22,12,46,23,12,12,47,2,-11,10,0,-1,21,DIFFER
ANZ,Australasia,Australasia,1912,3,2,2,7,2,2,3,7,12,1,0,-1,0,2,DIFFER
AUT,Austria,Austria,1912,2,0,2,4,0,2,2,4,17,2,-2,0,0,4,DIFFER
BEL,Belgium,Belgium,1912,3,2,1,6,2,1,3,6,13,1,1,-2,0,4,DIFFER
BOH,BOH,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1912,3,3,2,8,3,2,3,8,9,0,1,-1,0,2,DIFFER
CHI,CHI,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1912,5,1,6,12,1,6,5,12,14,4,-5,1,0,10,DIFFER
FIN,Finland,Finland,1912,9,9,8,26,9,8,9,26,4,0,1,-1,0,2,DIFFER
FRA,France,France,1912,3,7,5,15,7,4,3,14,5,-4,3,2,1,9,DIFFER
GBR,Great Britain,Great Britain,1912,16,10,15,41,10,15,16,41,3,6,-5,-1,0,12,DIFFER
GER,Germany,Germany,1912,7,6,13,26,5,13,7,25,6,2,-7,6,1,15,DIFFER
GRE,Greece,Greece,1912,1,1,0,2,1,0,1,2,15,0,1,-1,0,2,DIFFER
HUN,Hungary,Hungary,1912,3,3,2,8,3,2,3,8,9,0,1,-1,0,2,DIFFER
ISL,ISL,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1912,2,5,1,8,3,1,2,6,11,-1,4,-1,2,6,DIFFER
JPN,JPN,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1912,3,0,0,3,0,0,3,3,18,3,0,-3,0,6,DIFFER
NOR,Norway,Norway,1912,5,4,1,10,3,2,5,10,8,2,2,-4,0,8,DIFFER
POL,POL,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POR,POR,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
RSA,South Africa,South Africa,1912,0,4,2,6,4,2,0,6,7,-4,2,2,0,8,DIFFER
RUS,Russian Empire,Russian Empire,1912,3,0,2,5,0,2,3,5,16,3,-2,-1,0,6,DIFFER
SRB,SRB,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,SUI,,1912,0,1,0,1,0,0,0,0,,0,1,0,1,1,ONLY_IN_ATHLETES
SWE,Sweden,Sweden,1912,17,24,24,65,23,25,17,65,2,-6,-1,7,0,14,DIFFER
TUR,TUR,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
UNK,UNK,,1912,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
USA,United States,United States,1912,19,26,18,63,26,19,19,64,1,-7,7,-1,-1,15,DIFFER
ARG,ARG,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
AUS,Australia,Australia,1920,1,0,2,3,0,2,1,3,16,1,-2,1,0,4,DIFFER
BEL,Belgium,Belgium,1920,14,16,12,42,14,11,11,36,5,0,5,1,6,6,DIFFER
BRA,Brazil,Brazil,1920,1,1,1,3,1,1,1,3,15,0,0,0,0,0,MATCH
CAN,Canada,Canada,1920,3,3,3,9,3,3,3,9,12,0,0,0,0,0,MATCH
CHI,CHI,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1920,1,3,9,13,3,9,1,13,10,-2,-6,8,0,16,DIFFER
EGY,EGY,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,1920,0,0,2,2,0,2,0,2,17,0,-2,2,0,4,DIFFER
EST,Estonia,Estonia,1920,0,1,2,3,1,2,0,3,14,-1,-1,2,0,4,DIFFER
FIN,Finland,Finland,1920,9,15,10,34,15,10,9,34,3,-6,5,1,0,12,DIFFER
FRA,France,France,1920,13,9,20,42,9,19,13,41,8,4,-10,7,1,21,DIFFER
GBR,Great Britain,Great Britain,1920,13,14,16,43,14,15,13,42,4,-1,-1,3,1,5,DIFFER
GRE,Greece,Greece,1920,0,0,1,1,0,1,0,1,19,0,-1,1,0,2,DIFFER
IND,IND,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ITA,Italy,Italy,1920,5,14,6,25,13,5,5,23,7,-8,9,1,2,18,DIFFER
JPN,Japan,Japan,1920,0,0,2,2,0,2,0,2,17,0,-2,2,0,4,DIFFER
LUX,Luxembourg,Luxembourg,1920,0,0,1,1,0,1,0,1,19,0,-1,1,0,2,DIFFER
MON,MON,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1920,5,4,2,11,4,2,5,11,9,1,2,-3,0,6,DIFFER
NOR,Norway,Norway,1920,9,10,10,29,13,9,9,31,6,-4,1,1,-2,6,DIFFER
NZL,New Zealand,New Zealand,1920,1,0,0,1,0,0,1,1,22,1,0,-1,0,2,DIFFER
POR,POR,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
RSA,South Africa,South Africa,1920,3,3,4,10,3,4,3,10,11,0,-1,1,0,2,DIFFER
SUI,Switzerland,Switzerland,1920,7,2,2,11,2,2,7,11,13,5,0,-5,0,10,DIFFER
SWE,Sweden,Sweden,1920,25,19,20,64,19,20,25,64,2,6,-1,-5,0,12,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1920,2,0,0,2,0,0,2,2,21,2,0,-2,0,4,DIFFER
USA,United States,United States,1920,27,41,27,95,41,27,27,95,1,-14,14,0,0,28,DIFFER
YUG,YUG,,1920,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1924,2,1,3,6,1,3,2,6,16,1,-2,1,0,4,DIFFER
AUS,Australia,Australia,1924,2,3,1,6,3,1,2,6,11,-1,2,-1,0,4,DIFFER
AUT,Austria,Austria,1924,1,0,3,4,0,3,1,4,20,1,-3,2,0,6,DIFFER
BEL,Belgium,Belgium,1924,3,3,7,13,3,7,3,13,10,0,-4,4,0,8,DIFFER
BRA,BRA,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,BUL,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1924,1,0,3,4,0,3,1,4,20,1,-3,2,0,6,DIFFER
CHI,CHI,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,CUB,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1924,3,2,6,11,2,5,2,9,12,1,-3,4,2,8,DIFFER
ECU,ECU,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EGY,EGY,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,ESP,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
EST,Estonia,Estonia,1924,4,1,1,6,1,1,4,6,17,3,0,-3,0,6,DIFFER
FIN,Finland,Finland,1924,10,14,13,37,14,13,10,37,2,-4,1,3,0,8,DIFFER
FRA,France,France,1924,12,14,14,40,13,15,10,38,3,-1,-1,4,2,6,DIFFER
GBR,Great Britain,Great Britain,1924,12,9,14,35,9,13,12,34,4,3,-4,2,1,9,DIFFER
GRE,GRE,,1924,0,1,0,1,0,0,0,0,,0,1,0,1,1,ONLY_IN_ATHLETES
HAI,Haiti,Haiti,1924,1,0,0,1,0,0,1,1,23,1,0,-1,0,2,DIFFER
HUN,Hungary,Hungary,1924,4,2,4,10,2,3,4,9,13,2,-1,0,1,3,DIFFER
IND,IND,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
IRL,IRL,,1924,1,0,1,2,0,0,0,0,,1,0,1,2,2,ONLY_IN_ATHLETES
ITA,Italy,Italy,1924,5,8,3,16,8,3,5,16,5,-3,5,-2,0,10,DIFFER
JPN,Japan,Japan,1924,1,0,0,1,0,0,1,1,23,1,0,-1,0,2,DIFFER
LAT,LAT,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LTU,LTU,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1924,0,1,1,2,0,0,0,0,,0,1,1,2,2,ONLY_IN_ATHLETES
MEX,MEX,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1924,1,0,0,1,0,0,0,0,,1,0,0,1,1,ONLY_IN_ATHLETES
NED,Netherlands,Netherlands,1924,6,4,1,11,4,1,5,10,9,2,3,-4,1,9,DIFFER
NOR,Norway,Norway,1924,3,5,2,10,5,2,3,10,7,-2,3,-1,0,6,DIFFER
NZL,New Zealand,New Zealand,1924,1,0,0,1,0,0,1,1,23,1,0,-1,0,2,DIFFER
PHI,PHI,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
POL,Poland,Poland,1924,1,0,1,2,0,1,1,2,22,1,-1,0,0,2,DIFFER
POR,Portugal,Portugal,1924,1,0,0,1,0,0,1,1,23,1,0,-1,0,2,DIFFER
ROU,Romania,Romania,1924,1,0,0,1,0,0,1,1,23,1,0,-1,0,2,DIFFER
RSA,South Africa,South Africa,1924,1,1,1,3,1,1,1,3,18,0,0,0,0,0,MATCH
RUS,Russia,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
SUI,Switzerland,Switzerland,1924,10,7,8,25,7,8,10,25,6,3,-1,-2,0,6,DIFFER
SWE,Sweden,Sweden,1924,12,4,13,29,4,13,12,29,8,8,-9,1,0,18,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1924,5,1,4,10,1,4,5,10,15,4,-3,-1,0,8,DIFFER
TUR,TUR,,1924,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
URU,Uruguay,Uruguay,1924,0,1,0,1,1,0,0,1,19,-1,1,0,0,2,DIFFER
USA,United States,United States,1924,27,45,27,99,45,27,27,99,1,-18,18,0,0,36,DIFFER
YUG,Yugoslavia,Yugoslavia,1924,0,2,0,2,2,0,0,2,14,-2,2,0,0,4,DIFFER
ARG,Argentina,Argentina,1928,1,3,3,7,3,3,1,7,12,-2,0,2,0,4,DIFFER
AUS,Australia,Australia,1928,1,1,2,4,1,2,1,4,19,0,-1,1,0,2,DIFFER
AUT,Austria,Austria,1928,1,3,0,4,2,0,1,3,18,-1,3,-1,1,5,DIFFER
BEL,Belgium,Belgium,1928,2,0,1,3,0,1,2,3,29,2,-1,-1,0,4,DIFFER
BUL,BUL,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1928,7,4,4,15,4,4,7,15,10,3,0,-3,0,6,DIFFER
CHI,Chile,Chile,1928,0,0,1,1,0,1,0,1,30,0,-1,1,0,2,DIFFER
CUB,CUB,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1928,4,3,2,9,3,1,2,6,13,1,2,0,3,3,DIFFER
EGY,Egypt,Egypt,1928,1,2,1,4,2,1,1,4,17,-1,1,0,0,2,DIFFER
ESP,Spain,Spain,1928,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
EST,Estonia,Estonia,1928,2,2,1,5,2,1,2,5,16,0,1,-1,0,2,DIFFER
FIN,Finland,Finland,1928,9,8,8,25,8,8,9,25,3,1,0,-1,0,2,DIFFER
FRA,France,France,1928,6,7,12,25,6,10,5,21,7,0,-3,7,4,10,DIFFER
GBR,Great Britain,Great Britain,1928,7,4,11,22,3,10,7,20,11,4,-6,4,2,14,DIFFER
GER,Germany,Germany,1928,19,11,9,39,10,7,14,31,2,9,4,-5,8,18,DIFFER
GRE,GRE,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
HAI,Haiti,Haiti,1928,0,0,1,1,0,1,0,1,30,0,-1,1,0,2,DIFFER
HUN,Hungary,Hungary,1928,0,5,5,10,4,5,0,9,9,-4,0,5,1,9,DIFFER
IND,India,India,1928,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
IRL,Ireland,Ireland,1928,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
ITA,Italy,Italy,1928,7,7,6,20,7,5,7,19,5,0,2,-1,1,3,DIFFER
JPN,Japan,Japan,1928,1,2,2,5,2,2,1,5,15,-1,0,1,0,2,DIFFER
LAT,LAT,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LTU,LTU,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
LUX,LUX,,1928,0,1,0,1,0,0,0,0,,0,1,0,1,1,ONLY_IN_ATHLETES
MEX,MEX,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MLT,MLT,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
MON,MON,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
NED,Netherlands,Netherlands,1928,5,8,10,23,6,9,4,19,8,-1,-1,6,4,8,DIFFER
NOR,Norway,Norway,1928,1,1,2,4,1,2,1,4,19,0,-1,1,0,2,DIFFER
NZL,New Zealand,New Zealand,1928,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
PAN,PAN,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
PHI,Philippines,Philippines,1928,1,0,0,1,0,0,1,1,32,1,0,-1,0,2,DIFFER
POL,Poland,Poland,1928,4,2,1,7,1,1,3,5,21,3,1,-2,2,6,DIFFER
POR,Portugal,Portugal,1928,1,0,0,1,0,0,1,1,32,1,0,-1,0,2,DIFFER
ROU,ROU,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
RSA,South Africa,South Africa,1928,2,1,0,3,1,0,2,3,23,1,1,-2,0,4,DIFFER
SUI,Switzerland,Switzerland,1928,4,7,6,17,7,4,4,15,6,-3,3,2,2,8,DIFFER
SWE,Sweden,Sweden,1928,12,7,6,25,7,6,12,25,4,5,1,-6,0,12,DIFFER
TCH,Czechoslovakia,Czechoslovakia,1928,2,2,5,9,2,5,2,9,14,0,-3,3,0,6,DIFFER
TUR,TUR,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
URU,Uruguay,Uruguay,1928,0,1,0,1,1,0,0,1,24,-1,1,0,0,2,DIFFER
USA,United States,United States,1928,16,22,18,56,22,18,16,56,1,-6,4,2,0,12,DIFFER
YUG,Yugoslavia,Yugoslavia,1928,3,1,1,5,1,1,3,5,21,2,0,-2,0,4,DIFFER
ZIM,ZIM,,1928,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ARG,Argentina,Argentina,1932,0,3,1,4,3,1,0,4,12,-3,2,1,0,6,DIFFER
AUS,Australia,Australia,1932,1,3,1,5,3,1,1,5,11,-2,2,0,0,4,DIFFER
AUT,Austria,Austria,1932,3,1,1,5,1,1,3,5,18,2,0,-2,0,4,DIFFER
BEL,Belgium,Belgium,1932,1,0,0,1,0,0,1,1,26,1,0,-1,0,2,DIFFER
BRA,BRA,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
BUL,BUL,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CAN,Canada,Canada,1932,9,2,5,16,2,5,9,16,13,7,-3,-4,0,14,DIFFER
CHN,CHN,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
COL,COL,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
CUB,CUB,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
DEN,Denmark,Denmark,1932,3,0,5,8,0,5,3,8,20,3,-5,2,0,10,DIFFER
ESA,ESA,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
ESP,Spain,Spain,1932,1,0,0,1,0,0,1,1,26,1,0,-1,0,2,DIFFER
EST,EST,,1932,0,0,0,0,0,0,0,0,,0,0,0,0,0,NO_MEDALS
FIN,Finland,Finland,1932,12,5,8,25,5,8,12,25,8,7,-3,-4,0,14,DIFFER
FRA,France,France,1932,4,11,5,20,11,5,4,20,3,-7,6,1,0,14,DIFFER
GBR,Great Britain,Great Britain,1932,5,5,7,17,5,7,5,17,9,0,-2,2,0,4,DIFFER
GER,Germany,Germany,1932,7,5,12,24,5,12,7,24,7,2,-7,5,0,14,DIFFER
